objectid,filename,title,creator,date,description,image_alt_text,camera,location,latitude,longitude,trip,subject,genre,rights,format,type
cb001,cb001.jpg,Late night on the train,"Kinzy, Quentin",2023-05-19,Looking down from the upper floor of a Metra Gallery Car.,"Railing running diagonally, with green-tinted train windows behind them.",Fujifilm QuickSnap,"Union Station (Chicago, Illinois)",41.878917,-87.640305,Chicago 2023,Railroad trains; Transportation,art photography; night photography; 35mm (photographic film size); travel photography,Photo © 2023 Quentin Kinzy,image/jpeg,Image;StillImage
cb002,cb002.jpg,Climbing Monks Mound,"Kinzy, Quentin",2026-03-14,"Monks Mound (or Mound 38) is the largest pre-Columbian earthwork in North America. It was built in the city of Cahokia, which once stood near modern-day St. Louis as well as the confluence of the Mississippi and Missouri rivers. This was captured standing at the foot of Monks Mound to offer a sense of its scale. ","A grassy earthen mound, pyramid-shaped with two terraces visible. A stairway runs up the center of the mound, with two people walking down it, who look small in scale compared to the mound.",Sony Cyber-shot,"Cahokia Mounds State Historic Park (Collinsville, Illinois)",38.661321,-90.062039,St. Louis 2026,Mississippi River Valley; History; Architecture,digital photography (digital camera); travel photography,Photo © 2026 Quentin Kinzy,image/jpeg,Image;StillImage
cb003,cb003.jpg,October flowers,"Kinzy, Quentin",2023-10,"This photo of flowers in a small, local park is the last image on its roll of film. I was taking a couple photos at this small, local park to use up the last of my film, and I wasn’t even sure whether this image would fit. The right side of the frame is the product of light exposure, which I have intentionally left uncropped.","Upward view of flowers against a clear sky. The colors are muted, slightly yellowed as if aged. A blank white strip runs along the right edge.",Kodak S100 EF,"Benton Hill Park (Iowa City, Iowa)",41.650097,-91.547561,,Flowers; Silhouettes; Plants,art photography; 35mm (photographic film size); nature photography,Photo © 2023 Quentin Kinzy,image/jpeg,Image;StillImage
cb004,cb004.jpg,Autumn prairie,"Kinzy, Quentin",2023-09-17,"Switchgrass (light yellow, at front) growing in a restored prairie in Iowa.",Light and dark yellow prairie grasses and a few sparsely covered trees under a blue sky.,Kodak S100 EF,"Cedar River Crossing Conservation Area (Solon, Iowa)",41.840499,-91.397319,,Prairies; Switchgrass; Plants; Nature conservation,art photography; 35mm (photographic film size); nature photography,Photo © 2023 Quentin Kinzy,image/jpeg,Image;StillImage
cb005,cb005.jpg,Red flag advisory,"Kinzy, Quentin",2023-05-10,This red flag serves as a warning to beachgoers that it is unsafe to go in the water due to hazards like riptides.,"A red flag waves in the wind close to the shoreline, ocean waves breaking in the background. The flag has an icon of a swimmer crossed out, but it is partially obscured by the ripples in the flag.",Fujifilm QuickSnap,"Rehoboth Beach, Delaware",38.71622,-75.07544,"Washington, D.C. 2023",Ocean; Beaches; Signs and signboards,art photography; 35mm (photographic film size); travel photography,Photo © 2023 Quentin Kinzy,image/jpeg,Image;StillImage
cb006,cb006.jpg,Coral conservation,"Kinzy, Quentin",2026-01-03,"These coral species are part of the Florida Reef Tract Rescue Project, a nationwide initiative to rescue and conserve Floridian coral in response to the outbreak of stony coral tissue loss disease.",Several species of coral sit in a large tank under a purple grow light.,Sony Cyber-shot,"National Mississippi River Museum and Aquarium (Dubuque, Iowa)",42.49685,-90.661355,Dubuque 2026,Corals; Animals; Nature conservation,digital photography (digital camera); travel photography,Photo © 2026 Quentin Kinzy,image/jpeg,Image;StillImage
cb007,cb007.jpg,Live music nightly,"Kinzy, Quentin",2023-05-19,"Point-and-shoot film cameras have very limited options for adjustments, compared to other film cameras. This camera had a fixed focus, film speed, and shutter speed. Essentially, my only decision was whether to cover the built-in, automatic flash with my thumb or not. I was very uncertain whether this photo would come out and feel very grateful that it did.","A thin, blue neon sign in a window, with the text ""Live music nightly.""",Fujifilm QuickSnap,"Chicago, Illinois",41.8882,-87.6288,Chicago 2023,Neon signs; Signs and signboards,art photography; night photography; 35mm (photographic film size); travel photography,Photo © 2023 Quentin Kinzy,image/jpeg,Image;StillImage
cb008,cb008.jpg,Boxcar,"Kinzy, Quentin",2023-08-20,"The Cedar Lake Trail winds past a train yard, where this Seattle and North Coast boxcar was spotted.","A brown train car decorated with graffiti and the faded text ""Seattle & North Coast.""",Kodak S100 EF,"Cedar Lake Trail (Cedar Rapids, Iowa)",41.99208,-91.66489,,Railroad trains; Graffiti,art photography; 35mm (photographic film size),Photo © 2023 Quentin Kinzy,image/jpeg,Image;StillImage
cb009,cb009.jpg,Annapolis,"Kinzy, Quentin",2023-05-29,"Looking up Cornhill St. in Annapolis, with the dome of the Maryland State House visible at the end of the street.","A quiet, narrow street lined with older buildings and brick sidewalks.",Fujifilm QuickSnap,"Annapolis, Maryland",38.97826,-76.48823,"Washington, D.C. 2023",Architecture; Capitols,art photography; 35mm (photographic film size); travel photography,Photo © 2023 Quentin Kinzy,image/jpeg,Image;StillImage
cb010,cb010.jpg,Confluence,"Kinzy, Quentin",2023-05-26,"North of downtown St. Louis, the longest river in North America, the Missouri River (running horizontally in this image), meets the Mississippi River.","Aerial view of two rivers meeting, framed by the plane's passenger window. The plane's wing is visible.",Fujifilm QuickSnap,"St. Louis, Missouri",38.75502,-90.17729,"Washington, D.C. 2023",Mississippi River Valley; Missouri River Valley,aerial photography; travel photography; art photography; 35mm (photographic film size); nature photography,Photo © 2023 Quentin Kinzy,image/jpeg,Image;StillImage
cb011,cb011.jpg,Glimpse of prairie,"Kinzy, Quentin",2023-09-17,"This scene was captured on a hike at Cedar River Crossing Conservation Area, home to a prairie restoration project.",Gold prairie grasses visible through a gap in the trees.,Kodak S100 EF,"Cedar River Crossing Conservation Area (Solon, Iowa)",41.84049,-91.397318,,Prairies; Plants; Nature conservation,art photography; 35mm (photographic film size); nature photography,Photo © 2023 Quentin Kinzy,image/jpeg,Image;StillImage
cb012,cb012.jpg,Boarding process,"Kinzy, Quentin",2023-05-26,"A plane preparing for the boarding process, captured while waiting for my flight to Washington, D.C.","Plane with its boarding bridge attached, while a second plane taxis in the background.",Fujifilm QuickSnap,"Lambert International Airport (St. Louis, Missouri)",38.74981,-90.374473,"Washington, D.C. 2023",Airplanes; Transportation,35mm (photographic film size); travel photography,Photo © 2023 Quentin Kinzy,image/jpeg,Image;StillImage
cb013,cb013.jpg,Field Museum,"Kinzy, Quentin",2023-05-19,Exterior of the Chicago Field Museum and several bronze sculptures in its garden.,Green garden and black statues in front of a white museum.,Fujifilm QuickSnap,"Field Museum (Chicago, Illinois)",41.866237,-87.617323,Chicago 2023,Sculpture; Architecture; Museums,art photography; 35mm (photographic film size); travel photography,Photo © 2023 Quentin Kinzy,image/jpeg,Image;StillImage
cb014,cb014.jpg,Barge,"Kinzy, Quentin",2026-01-03,"Interior of the Logsdon Sand and Gravel barge, staged to depict what life would have been like on the boat.",White-painted wooden interior furnished with a workbench and blue machinery.,Sony Cyber-shot,"National Mississippi River Museum and Aquarium (Dubuque, Iowa)",42.49685,-90.661355,Dubuque 2026,Boats and boating; Transportation; History; Museums; Mississippi River Valley,digital photography (digital camera); travel photography,Photo © 2026 Quentin Kinzy,image/jpeg,Image;StillImage
cb015,cb015.jpg,Steamboat,"Kinzy, Quentin",2026-01-03,"This steamboat, the William M. Black, originally dredged rivers including the Mississippi and Missouri. It now floats in a harbor of the Mississippi River, as part of the National Mississippi River Museum and Aquarium. ","A steamboat floating in a frozen harbor, with the text ""William M. Black"" across its side.",Sony Cyber-shot,"National Mississippi River Museum and Aquarium (Dubuque, Iowa)",42.49685,-90.661355,Dubuque 2026,Boats and boating; Transportation; History; Museums; Mississippi River Valley; Missouri River Valley,digital photography (digital camera); travel photography,Photo © 2026 Quentin Kinzy,image/jpeg,Image;StillImage
